tweet,happy_score,angry_score,surprise_score,sad_score,fear_score
idiots coronavirus: police break up 'massive' karaoke party during uk lockdown,0.0,0.0,1.0,0.0,0.0
if coke is the only drink i have doing uk lockdown and after i drink 10 cans at 12am it be end up like this,0.0,0.0,1.0,0.0,0.0
nzradio today said if u arnt enjoying this nzlockdown uklockdown then u are maybe with the wrong partner or in the wrong home thinking of all the people trapped inside unhappy homes staystrong,0.12,0.0,0.38,0.38,0.12
the government has announced a £75m airlift operation to rescue hundreds of thousands of british nationals stranded abroad because of the coronavirus pandemic coronaalert coronavirusoutbreak uklockdown uk covid covid19outbreak,1.0,0.0,0.0,0.0,0.0
uk lockdown day 4: my wrist is sooo sore 😭 keep ya mind clean please its bc i literally having put my nintendo switch down since the 20th 🤧,0.17,0.17,0.17,0.33,0.17
the official uk lockdown instructions are not only an overreach - discusses the questionable legal basis of 's coronavirus bill:,0.0,0.0,0.0,0.0,1.0
even loui and princeton are board of lockdown 😔🐶 covid19 staysafe stayhome uklockdown,0.0,0.0,0.0,0.0,0.0
uk lockdown day 6 image - in 2013 i took a trip up to scotland for a couple of days to photograph ospreys at rothiemurchus these birds will be migrating through at the moment so you may be lucky to spot one from your garden if you keep looking up,0.38,0.12,0.12,0.0,0.38
forget the new year resolutions what's your post-lockdown resolutions uklockdown,0.0,0.33,0.0,0.0,0.67
covid2019 thankyounhs sharetheload clapfornhs covid19 coronavirus uk lockdown was 10 days too late,0.5,0.0,0.0,0.5,0.0
any 1 want to swap my 2 kids for a playstation it's that bad ill even take a ps1 or at a push a xbox covid19 uklockdown,0.33,0.0,0.0,0.33,0.33
uk covid-19 death toll hits 759 as nearly 15 000 cases confirmed uklockdown,0.0,0.33,0.0,0.0,0.67
this is fucking serious ☠️ stop being a selfish twat stay in your house and think about other people than yourself for once in your obvious sad pathetic life covid2019 coronavillains stayhomesavelives stayhome enforcetheban coronavirus uklockdown,0.17,0.17,0.17,0.33,0.17
positive thought for the day: i’ve spoken to my colleagues more since uklockdown especially as we’ve been having coffee ‘together’ every day thankful for being part of a great team grateful for non-work chats to get through this madness 💪🏻💪🏻🦠stayhomesavelives,0.71,0.0,0.14,0.0,0.14
next time i see my boyfriend he’ll be looking like this uklockdown,0.0,0.0,0.0,0.0,0.0
your month-by-month guide to how you'll cope until october uklockdown,0.0,0.0,1.0,0.0,0.0
really unacceptable covid19 uklockdown,0.0,0.0,1.0,0.0,0.0
breaking news has been declared fit for work by uklockdown,0.33,0.0,0.33,0.0,0.33
when all of this is over and the vast majority of experts condemn the uk's government for its deadly failures will the media still attempt false equivalence by finding commentators to defend government as though the expertise is split 50/50 uklockdown,0.0,0.0,0.0,1.0,0.0
very hard first week with uk lockdown our daily lives have been changed i hope everything will be come back to normal soon nothing it's the same our life it's so diferent right now i'm key worker and i'll stay after work at home stayhomesavelives stayathome takecare,0.0,0.2,0.1,0.3,0.4
what if today is just a groundhog day covid_19 uklockdown,1.0,0.0,0.0,0.0,0.0
back to back wins — fortnite ( uk lockdown day 6) 2 win and counting via come join,0.5,0.0,0.0,0.0,0.5
is the media inflating figures why does hardly anyone know someone personally who has covid_19 why was covid-19 no longer considered a hcid by the uk government before the uklockdown why are the same pictures of ‘warzone’ hospitals being used by multiple locations,0.0,0.0,0.0,1.0,0.0
watching everything with canbinet ministers in at the moment listening to what they have to say the anger when lockdown goes on for 3 more months than it needed to because of our govs incompetence greed and lack of speed will be astounding bbcqt covid19 uklockdown,0.0,0.0,0.43,0.29,0.29
i think prison sentences should be extended by the length of time the rest of us are on lockdown they living better than the rest of us - there's no family around they get lots of shower sex and no annoying houseparty or zoom invites covid2019 uklockdown,0.0,0.0,0.5,0.33,0.17
pakistan fights against corona virus pakistanfightscorona coronavirusinpakistan coronavirusoutbreak covid stayblessedpakistan corona pmimrankhan uklockdown bollywood borisjohnson chinapaksolidarity,0.0,0.0,0.0,1.0,0.0
clapping the nhs clapforourcarers uklockdown nhs,0.0,0.0,0.0,1.0,0.0
ooh i'm joining in uklockdown grattitude not usually a practicer of gratitude intervention but now is the time 1 the garden 🌻🌼 never have i appreciated patch of grass as much 2 my job at the university stability and security 🙏 3 toddler nap time 😴 thank god for that,0.12,0.0,0.25,0.12,0.5
hi there we're good thank you very quickly having to diversify and open an online shop but you know we like a challenge 👇👇👇 how are you doing what's the impact of uklockdown for you uptonhour wereinthistogether,0.17,0.17,0.0,0.17,0.5
morning day 4 of uk lockdown: i woke up early today why,1.0,0.0,0.0,0.0,0.0
uk applauds coronavirus health workers uk lockdown coronavirus quarantine nhs nocomment video,0.0,0.0,0.0,0.0,0.0
psa for the uk lockdown crew: the + norfolk-set film is currently streaming on the goob: via,0.0,0.0,0.0,0.0,0.0
"""asians make up 29% [of medical staff] in the nhs"" the uk's most recent census estimated that asians made up 7 5% of britain's population nhsheroes ukgoverment uklockdown",0.0,0.0,0.0,1.0,0.0
dr anthony fauci says coronavirus deaths in us could top 100k bigdata healthcare covid19 linux covid19usa covid19india covid19uk covid19canada covid19france covid19italy italylockdown usa indialockdown china iran uklockdown germany,0.0,0.0,0.67,0.0,0.33
"have you seen the weekly ""excess all cause mortality"" reports published at the following link but why is scotland reporting 2 weeks behind the other 3 nations (week 10 vs week 12 latest) covid corona uk lockdown death mortality",0.0,0.0,0.0,0.5,0.5
it's still not treated with the seriousness it deserves in the uk lockdown is haphazard and people told to continue where possible people seem to accept this as they have come out showing sympathy for those in power,0.0,0.17,0.17,0.5,0.17
if you cannot already do one-arm push-ups the uk lockdown should be long enough to achieve that,0.0,0.0,0.0,0.0,1.0
coronavirus this week's cover: bigdata healthcare covid19 linux covid19usa covid19india covid19uk canada covid19france covid19italy italylockdown usa indialockdown china iran uklockdown,0.0,0.0,0.0,0.0,1.0
i wish people would stop criticising the police in their response to uk lockdown when dealing with stupid people who are putting others lives at risk you have to be firm 🚓🚓,0.0,0.0,0.0,0.5,0.5
day4: baked some bread and made a steak and ale pie that is quite frankly a thing of beauty 🍞 uklockdown,0.25,0.0,0.25,0.5,0.0
our street is full of rainbows hope and offers of help through the letterbox thank you harlesden 🌈🙌🏻stayhomesavelives communityspirit harlesden covid2019 rainbows hope supporteachother coronaviruslockdown uklockdown stayhome,0.0,0.0,0.2,0.2,0.6
i really fucking hope this uklockdown isn't set to last for six months our household's already going stir crazy it's even getting to me and i'm typically a homebird (sorry ),0.12,0.0,0.12,0.25,0.5
herd immunity he wrote uklockdown,0.0,0.0,0.0,0.0,0.0
police acknowledge confusion over uk lockdown rules too many idiots doing whatever they want who cares if they kill 20 people as long as they can do what they like this is the 'me' culture that needs to change,0.0,0.0,0.2,0.2,0.6
oscarmosscat🐈🧡 on duty uk lockdown day 8 staysafe everyone coronavirus,0.5,0.0,0.0,0.0,0.5
the clapfornhs last thursday did so much to boost morale - do you think we could try and spread the word to make this a weekly event 8pm every thursday during uklockdown,0.0,0.25,0.25,0.25,0.25
uk lockdown until further notice expected until may,0.33,0.0,0.0,0.0,0.67
new video | please note that this film was made prior to the recent covid 19 outbreak and subsequent uk lockdown rules tr tony takes a wander down to alan's to see what progress there has been with uny 49m and the triumphstag body tub rebuild,0.0,0.0,0.25,0.5,0.25
i think of myself as mild-averagely neurotic so like to keep my flat pretty clean by most normal standards but even by my own my flat is gleaming right now i even cleaned the skirting boards covid_19 uklockdown stayathomeandstaysafe,0.17,0.0,0.17,0.33,0.33
- jan 22 china announced a quarantine until further notice cancelling flights and trains from wuhan - jan 28 widespread in china first case in europe - jan 31st first case in uk - mar 3rd johnson dismisses need for social distancing - mar 24th uk lockdown scandalous,0.0,0.0,0.4,0.2,0.4
have just taken a phone call asking if our restaurant is open mate we are in the uk it may have escaped your notice but we are currently in lockdown have you managed to avoid all forms of news and guidance of late uklockdown,0.0,0.0,0.12,0.12,0.75
day 8 of quarantine covid_19 uklockdown,1.0,0.0,0.0,0.0,0.0
all i want is to survive the uklockdown,0.0,0.0,0.0,0.0,0.0
uklockdown elevenses by - excellent would probably go better with a beer instead of a coffee but work needs to be done first further research required this evening 🍻,0.14,0.0,0.29,0.0,0.57
another day another facebook barrage of freelancers whining that they're getting a small amount of money from the bailout tough shit c*nts maybe next time pay yourself more than the tax free threshold uklockdown,0.4,0.0,0.2,0.0,0.4
when uk lockdown is over i think ima still stay in my room,0.0,0.33,0.33,0.0,0.33
uk lockdown- what does this mean for employers covid2019 employment employers furloughleave,0.0,0.0,0.0,0.0,0.0
from facebook uklockdown,0.0,0.0,0.0,0.0,0.0
uk lockdown - day 7 coronavirus covid19 uklockdown pandemic bristol,1.0,0.0,0.0,0.0,0.0
when it comes to uklockdown i don't trust politicians but i do trust medics i know a good number of them personally and i have no doubt they support the national effort to reduce death rates in this country as we work to treat this new virus it's a complicated time,0.18,0.0,0.18,0.0,0.64
uk lockdown chaos: ‘youths‘ fire bomb food delivery vans,0.0,0.0,0.0,0.0,1.0
and yet this sort of thing carries on in the epicentre of the virus in the uk makes sense coronavirustruth londonlockdown uklockdown,0.0,0.0,0.5,0.5,0.0
pray for us toddler mums with no garden plz uklockdown,0.0,0.0,0.5,0.0,0.5
indoor training podcasts and tv recommendations compliments of mondaymotivation uklockdown myracespace,0.0,0.0,0.0,0.0,0.0
holy fucking god did a major uk supermarket brand just let some brainless work experience kid loose on its twitter account a warning to you : this shit's gonna get real ugly for you guys real fast back up apologise and fix this shit ffs uklockdown covid19,0.13,0.0,0.2,0.47,0.2
we are in lockdown looooooooo-ockdown lockdown priceless from pointless covid19uk uklockdown,0.0,0.0,0.0,0.0,0.0
not gonna lie today was a real struggle missing my family and friends but i managed to force myself to write not sure if this play will be any good but at least it’s serving it’s purpose and keeping me distracted act two scene one - done writingcommunity uklockdown,0.2,0.0,0.1,0.3,0.4
katemccann done an appeal for people to stay indoors during the uk lockdown shame she didn't do the ssme a few years ago in portugal,0.0,0.5,0.0,0.5,0.0
troll of the week award must go to the british weather uklockdown,0.5,0.5,0.0,0.0,0.0
remember why you started for anyone struggling with their sobriety or found themselves staring in the face of relapse it’s not the end think of it as an opportunity to start again by doing things differently uklockdown recoveryposse,0.33,0.0,0.67,0.0,0.0
enjoyed creating this video for on coping in a crisis it's going to be released very soon it's make me want to create more what topics would you like at the moment wellbeing crisis uklockdown workingfromhometips,0.14,0.0,0.0,0.14,0.71
bojo got the rona uklockdown,0.0,0.0,0.0,0.0,0.0
don’t cast a clout till may is out methinks uklockdown,0.0,0.0,0.0,0.0,1.0
day 5 and u14s lucie is having fun shooting with her younger sister alice🏐 what a great action shot that is👌 keep up the great work girls🙌🖤❤️ thisgirlcan blackandred lovenetball noschool quarantinelife stayhomestaysafe uklockdown,0.67,0.0,0.0,0.0,0.33
coronavirus: uk lockdown measures are 'making a difference' but worst is yet to come sir patrick vallance says,0.0,0.0,0.5,0.5,0.0
so basically those dying at home or dying before they get tested are not being added to the figures and not remotely acceptable had we kept our testing kits this would not be an issue uklockdown,0.14,0.0,0.0,0.29,0.57
coronavirus uk lockdown is a joke at least in london covid19uk stayathomesavelives,1.0,0.0,0.0,0.0,0.0
what’s next just completed netflix uklockdown,0.0,0.0,0.0,0.0,0.0
coronavirus: police break up 'massive' karaoke party during uk lockdown | uk news -,0.0,0.0,1.0,0.0,0.0
lockdown with norman/sam deathstranding uklockdown,0.0,0.0,0.0,0.0,0.0
watching beetlejuice / betelgeuse on: netflixuk :) coronavirusuk coronauk coronavirus uk uklockdown lockdownuk rt share,0.0,0.0,1.0,0.0,0.0
there are people in the park flying fucking kites wtaf i do not want to be in the house till fucking june uklockdown,0.5,0.25,0.0,0.0,0.25
maybe instead of shaming ppl with your ''uk lockdown: commuters continue to pack platforms a week on'' video you should focus on the fact that everytime anyone asks boris about ppl beeing forced to go to work he dodges the answer,0.0,0.0,0.0,0.0,1.0
“certainly something you call a lockdown and observing 2 meters social distancing guidance by the government ” heathrowairport uklockdown covid19 shameful,0.0,0.0,0.0,0.5,0.5
muslim and jewish paramedics pray together in rare moment in israel bigdata healthcare covid19 linux covid19usa covid19india covid19uk canada covid19france covid19italy italylockdown usa indialockdown china iran uklockdown,0.0,0.0,0.0,0.0,1.0
ventured out onto the road today can't stop this rebel uklockdown,0.33,0.33,0.0,0.0,0.33
so many people are dying from coronavirusoutbreak and so many more are sick what more has to happen to get through to some people 🤬 police break up 'massive' karaoke party during uk lockdown,0.0,0.0,0.33,0.33,0.33
coronavirus update five key points for everyone to take note uklockdown,0.0,0.0,0.5,0.5,0.0
bit of calm this afternoon loving these free colouring prints from 💙 stayhomesavelives uklockdown stayhome staysafe,0.75,0.25,0.0,0.0,0.0
are the homeless to be provided somewhere to live as to not pass this disease to the rest of us after the pandemic will they be re-released to the streets boris homeless coronalockdown covid2019 uklockdown stayathomeandstaysafe nhs,0.0,0.0,0.0,1.0,0.0
anyone who is lonely isolated and has a good computer or laptop been on this 12 years not a game a vast virtual reality where you can do and be anything and interact with people all over the world uklockdown covid_19 stayhome,0.33,0.0,0.0,0.33,0.33
uk lockdown: is the bank and post office still open can i still receive online deliveries,0.0,0.0,0.33,0.0,0.67
ffs i put a tweet out in support of nhs staffing and pay and get this in response then he blocked me nhsheroes uklockdown covid19uk,0.0,0.0,0.0,1.0,0.0
spent all of the uk lockdown playing and binging 's - its the best combo 😁🌸,0.0,0.0,0.5,0.0,0.5
"should only be by appointment during these times🤭😂 😂😝😂😝😂😝 ""for now i am still working so i have to make an effort"" 🤓 unitedkingdom uklockdown coronavirus covid19 covid-19 socialdistancing stayathome uklockdown ukcoronavirus coronamemes",0.33,0.0,0.0,0.33,0.33
good morning from handsome lad zak fab bouncy and fun lad in need of a loving forever home when uklockdown ends read all about him at teamzay itsallaboutthedogs rescue adoptdontshop seniorstaffy,0.67,0.0,0.0,0.17,0.17
"""that day-on-day death figure was 27% higher than the previous day "" - bbc 180 to 381 is +27% for realz might want to have a word with the person doing your adding up uklockdown covid19 covid19uk covidー19uk coronavirus",0.2,0.4,0.0,0.2,0.2
using the daily walk for citizenscience 💪🏻 lots of rabbits and squirrels and a first ever for me this little dead field vole - note the really short tail download the if you want to help us understand what our mammals are doing during the uklockdown 🐾,0.0,0.14,0.57,0.14,0.14
the chiefminister mamatabanerjee socialdistanacing covid2019 chinesevirus19 coronavirusindia coronavirus no words to say preparing distance circle by her own hand china usa italy spain uk lockdown lockdown21 she is the best cm of westbengal westbengalcm,0.0,0.33,0.67,0.0,0.0
meet the new neighbourhood policing team catsoftwitter uklockdown,0.0,0.0,0.0,0.0,0.0
nelson is a handsome lad who will be on the lookout for his pawfect forever home once the uklockdown is over you can discover more about him at teamzay itsallaboutthedogs rescue adoptdontshop seniorstaffy,0.25,0.0,0.25,0.25,0.25
fortnite ( uk lockdown day 4) via,1.0,0.0,0.0,0.0,0.0
if you find yourself sitting at home with no work on why not do something to help in this crisis are looking for volunteer responders to help those unable to leave the house more info here uklockdown &gt;&gt;,0.0,0.0,0.29,0.43,0.29
help has arrived in london chinese medics are now helping there as well as in italy covid_19 uklockdown coronacrisisuk,0.0,0.0,1.0,0.0,0.0
two american soldiers - one designed to save lives and another designed to take lives this world needs to get its priorities right covid_19 nyc ppe trumpmadness stayathomeandstaysafe uklockdown,0.0,0.0,0.67,0.0,0.33
uk’s prime minister boris johnson tests positive for coronavirus coronaupdate coronavirus coronavirusupdate coronainuk covid2019 covid uk ukcoronavirus uklockdown borrisjohnson,0.0,0.0,0.0,0.0,1.0
let's bang pans and clap hands etc for all who are keeping us going 1/4/20 8pm covid_19 covid19uk makenoise myneighbourhood uklockdown uplift,0.2,0.0,0.0,0.6,0.2
it's kind of comforting that even during a lockdown the weather here sticks to its pattern of 'beautiful sunshine during the working week atrociously wet and windy at the weekend' ukweather uklockdown,0.4,0.0,0.0,0.2,0.4
uk lockdown may last 6 months 😱😱 coronavirus covid19,0.0,0.0,0.0,0.0,1.0
coronavirus: police break up 'massive' karaoke party during uk lockdown | uk news | sky news children present what type of utter prick puts their kids in danger for sake of a piss up you utter twats,0.17,0.17,0.17,0.17,0.33
okay so i meant to start yesterday and i missed my own deadline like a boss so to make up for it here's two doodles for today first the dog himself sherlockhound uklockdown,0.0,0.0,0.25,0.5,0.25
"britvic is now ""in sell"" on our system following the coronavirus hit see chart key: above the cloud ""in buy"" below ""in sell"" ftse ftse250 drinks trading investing stocks jobs fintwit covid2019 covid19 coronavirus uklockdown",0.0,0.17,0.0,0.33,0.5
the m62 during rush hour taken on yesterday’s state sanctioned single daily exercise (aka a 5km run) uklockdown,0.25,0.0,0.25,0.5,0.0
an important message for you itsjusttheflu coronalockdown coronavirus covid19 covid2019 stayhomesavelives stayathomeandstaysafe staythefhome stayhome iostoacasa uklockdown,1.0,0.0,0.0,0.0,0.0
i’ve said it many times (to many ppl) but if you need respite fromcurrent pressures strain and confusion this is the best time investment you can make guarantee to put a smile back on your face even for a moment uklockdown,0.11,0.0,0.22,0.22,0.44
covid19 china: lockdown italy: lockdown spain: lockdown uk: lockdown india: lockdown half the world’s population: lockdown australia:,0.0,0.0,0.0,0.0,0.0
uk lockdown will last 'important' interval: govt - times of india -,0.0,0.0,0.0,0.0,0.0
lockdown week 1 guys on my feed: 💇 gonna cut my own hair 👱 might go blonde 🧔 try to grow a beard lockdown week 3: 🐯 all looking like joe exotic tigerking sundaythoughts uklockdown coronaupdate covid_19,0.0,0.67,0.33,0.0,0.0
families borrowing to buy food a week into uk lockdown 🧐 😕🙁☹️😣😠😡🤬🤯,0.0,0.0,1.0,0.0,0.0
day 3 workingfromhome the big luxury is sleeping in a bit but you are literally seconds from your work station so throw on any clothes cos nobody can see you then you can pull it off pretty impressively covid19 uklockdown,0.67,0.0,0.0,0.0,0.33
update 88: council have announced in a facebook post that a popular destination for walkers and cyclists is now closed to vehicles uklockdown coronavirusuk robinswoodhill gloucestershire,1.0,0.0,0.0,0.0,0.0
it’s not like there’s a lock down or anything going on coronalockdown covid2019 uklockdown,0.0,0.5,0.0,0.0,0.5
why weren’t we ready uklockdown covid_19 coronavirusuk covid19 covid_19uk brilliant work by,0.67,0.0,0.0,0.0,0.33
uk lockdown days 3 4 5 6 as ive been bad and not uploaded daily blaming my adhd will post a new one tonight 👍 so stay tuuuuuned baby thelockdown uklockdown covid_19 coronavirus youtuber blondie singlemum singlemom lockdown lifecommentary,0.33,0.33,0.0,0.33,0.0
cyclists: are you still planning a solo outing on two wheels during your hour of exercise over the weekend or perhaps you're being more cautious we'd love to hear how you're adjusting to the new uklockdown measures,0.25,0.25,0.0,0.25,0.25
funny thing about the uklockdown is that we are already finding new ways of wasting our time stayathomeandstaysafe covid_19 coronavirusuk coronavirus coronaupdate covid19uk,0.0,0.0,1.0,0.0,0.0
uk lockdown: tourist hotspots deserted due to coronavirus via,0.0,0.0,0.0,0.0,0.0
day 5: just played fifa until and did their rewinds of classic events uklockdown,0.5,0.0,0.0,0.0,0.5
just checked in on 80-yr-old lothario neighbour dave he’s well - calls every morning with his pizza temp gun to take his temperature then a female neighbour appeared from his kitchen with two mugs of tea ffs she should know better socialdistancing uklockdown,0.0,0.0,0.5,0.5,0.0
although i’m getting out 5/7 walking to and from work when i’m in the house i feel how daryl felt when negan had him locked in the dark cell with that ‘easy street’ song on loop😭😭 uklockdown thewalkingdead covid19,0.0,0.0,0.0,0.75,0.25
new vlog on my youtube channel 'making hairdressers facepalm || uk lockdown day 7' vlogger vlogging dailyvlogs uk youtuber smallyoutubercommunity smallyoutuberarmy smallyoutubers diyhaircut backtowork,1.0,0.0,0.0,0.0,0.0
i'm going mad please let this be over before summer😭 covid_19 uklockdown isolationlife,0.0,0.25,0.0,0.5,0.25
bi hat he’s 8 and having a great birthday despite it all 🎂 off for some blowy exercise in a min covid_19 uklockdown,0.33,0.33,0.0,0.33,0.0
smh people are still letting their kids out irresposibly 😤🤦‍♂️ uklockdown covid19 covid_19,0.5,0.0,0.0,0.5,0.0
right what people think when people going to lose their shit 5-6 weeks lock down or less every day economy lose 2% its gdp some point we have to draw the line otherwise we push back the next two generation to stone age coronavirus uklockdown,0.07,0.07,0.29,0.14,0.43
do i actually want another cup of tea or am i just bored uklockdown day5,0.0,0.0,0.5,0.5,0.0
you cannot get corona from pets coronavirus ireland covid19 irelandvscovid irelandlockdown socialdistancing stayathome coronaupdate stayathomeandstaysafe coronalockdown uklockdown ukcoronavirus 🐶🐕🐩🐱🐈,0.0,1.0,0.0,0.0,0.0
sainsbury's have delivered pink coloured toilet rolls instead of the white ones i ordered how fucking dare they uklockdown covid19,0.17,0.17,0.0,0.0,0.67
i see my son has changed my name on netflix again uklockdown,0.0,0.0,0.0,0.0,0.0
"police should taser people who don't obey lockdown rules and if they still don't comply the police should ""fire something which makes them comply permanently "" former crime commissioner told iain dale | uklockdown",0.0,0.0,0.2,0.6,0.2
my daughter is doing a house party thingy she is laughing her head off &amp; it is a joy to hear 😊 son is battling something on his xbox also happy 1st saturday night successful uklockdown,0.5,0.0,0.0,0.0,0.5
hamilton compares uk lockdown to animal captivity f1 hamilton,0.0,0.0,0.0,0.0,0.0
bald men holding that w for a couple months yeah 👨🏼‍🦲🙌🏼😂 covid19 stayathome uklockdown,0.0,0.0,0.0,0.0,0.0
indiafightscorona uklockdown ukcoronavirus indialockdown angered by china’s handling of the coronavirus crisis the boris johnson government in the united kingdom is reconsidering an infrastructure deal which was struck at the cost of upsetting us with china,0.0,0.0,0.4,0.2,0.4
😂😂 look at this 👇 untiljune uklockdown,0.0,0.0,0.0,0.0,0.0
cheers all colleagues in liverpool law school academic and ps alike we made it to the easter break and through the daylight part of day 4of the uk lockdown stay safe stay home and enjoy the weekend,0.33,0.22,0.22,0.22,0.0
when this is over i think our release to freedom is going to have to be phased or it will be absolute carnage on the streets uklockdown,0.0,0.0,0.25,0.25,0.5
an anthem to sum up the start of the second week of uklockdown,0.0,0.0,0.0,0.0,0.0
gone back to bed and i’m all cuddled up with olly 🐶💙 uklockdown,0.0,0.0,0.0,0.0,1.0
today's slow solitary jog safedistance safeexercise uklockdown,0.0,1.0,0.0,0.0,0.0
i think its time to worry when your prime mininster and your health secretary test positive for a disease they're supposed to be fighting on a national scale uklockdown ukcoronavirus,0.14,0.0,0.29,0.29,0.29
⁦⁩ r e m having a bit of a resurgence during the lockdown in the uk lockdown,0.0,0.0,0.0,0.0,0.0
every night before bed i nip out to seattle patty is struggling with relapse courtney just made the people vs larry flint there was a row with kathleen hanna &amp; the new producer’s been a right shit about patty’s drumming where’s your book taking you amreading uklockdown,0.0,0.0,0.4,0.2,0.4
usually fishing this time on a sunday well get your fishing fix during the uklockdown with one of my many little videos 👇👇👇👇👇👇👇👇,0.0,0.0,0.0,0.0,0.0
thanks deano really enjoyed deantv tonight with &amp; plus music &amp; chat with guests in uklockdown with a fractured elbow is no fun so it’s nice to have something to take your mind off it 🙂,0.6,0.0,0.4,0.0,0.0
10 day health and fitness challenge whilst on partial uk lockdown via,0.67,0.0,0.0,0.0,0.33
how is everyone coping with lockdown coronavirus lockdown quarantine corona tuesdaythoughts covid19 covidー19 uklockdown uk,0.0,0.0,0.0,0.0,0.0
waft and wait limit on debit &amp; credit cards to be increased from £30 to £45 a pop on your phone each time might be a good additional security measure fca tapandgo contactless ukbanking contactlesspayments uklockdown ukcoronavirus banking,0.14,0.14,0.29,0.0,0.43
uk lockdown day 3 - getting stuck on benefit,0.33,0.0,0.0,0.0,0.67
triple whammy as boris johnson tests positive for covid19 mendacity and hypocrisy uklockdown coronavirus,0.0,0.0,0.0,0.0,0.0
lack of preparation lack of ppe lack of support lack of testing lack of staff lack of ventilators lack of funding lack of understanding or care 10 years of brutal cuts surely this is the end for the tories bbcqt covid19 uklockdown,0.0,0.33,0.33,0.0,0.33
